90	0	0
90	2	2
90	6	5
90	8	7
90	4	8
90	9	9
90	9	10
90	8	12
90	11	13
90	8	14
90	13	16
90	9	17
90	5	18
90	14	8
90	15	9
90	5	19
90	16	16
90	5	20
90	17	21
90	4	22
90	8	23
90	18	24
90	5	25
90	14	27
90	5	29
90	9	32
90	21	33
90	22	36
90	4	37
90	5	38
90	5	39
90	24	40
90	15	10
90	8	42
90	15	43
90	26	44
90	28	33
90	5	47
90	5	48
90	29	13
90	31	50
90	32	36
90	21	51
90	5	52
90	9	54
90	33	55
90	34	2
90	35	21
90	36	24
90	33	56
90	5	57
90	14	22
90	5	58
90	14	37
90	5	59
90	28	51
90	15	54
90	15	18
90	15	32
90	5	61
90	4	27
90	5	62
90	5	63
90	14	64
90	4	65
90	5	66
90	42	67
90	5	68
90	9	43
90	5	69
90	9	18
90	43	70
90	44	0
90	8	71
90	45	13
90	46	13
90	15	17
90	14	65
90	4	64
90	5	73
90	48	74
90	49	75
90	5	76
1417	52	78
1417	14	79
1417	14	80
1417	29	81
1417	5	82
1417	34	83
1417	14	84
1417	4	8
1417	9	9
1417	5	54
1417	9	87
1417	53	88
1417	4	90
1417	17	91
1417	9	17
1417	14	92
1417	14	8
1417	8	93
1417	5	19
1417	5	20
1417	4	95
1417	4	96
1417	4	80
1417	4	22
1417	18	24
1417	4	79
1417	55	88
1417	8	97
1417	56	88
1417	14	96
1417	45	81
1417	57	100
1417	4	92
1417	5	103
1417	5	39
1417	24	40
1417	5	105
1417	58	106
1417	28	107
1417	4	108
1417	14	108
1417	8	29
1417	60	78
1417	9	109
1417	61	100
1417	14	22
1417	5	57
1417	62	83
1417	63	78
1417	14	95
1417	9	111
1417	4	112
1417	9	113
1417	5	76
1417	19	115
1417	4	116
1417	4	118
1417	64	107
1417	5	119
1417	5	63
1417	5	66
1417	13	106
1417	9	120
1417	9	121
1417	4	84
1417	43	70
1417	7	115
1417	66	78
1417	67	88
1417	14	118
1417	14	90
1417	9	124
1417	16	125
1417	14	116
1417	4	126
1417	7	24
1417	14	126
1417	49	75
1417	35	127
1417	19	24
1417	14	112
193	72	130
193	6	133
193	22	134
193	14	79
193	5	130
193	14	84
193	78	133
193	15	130
193	70	139
193	8	140
193	72	141
193	5	143
193	4	90
193	8	14
193	75	144
193	33	145
193	14	8
193	81	147
193	15	151
193	4	152
193	5	153
193	5	20
193	5	141
193	5	19
193	62	154
193	9	151
193	46	156
193	14	152
193	45	156
193	5	157
193	5	39
193	24	40
193	4	142
193	5	160
193	35	161
193	75	141
193	89	147
193	90	40
193	5	57
193	8	141
193	92	154
193	4	163
193	93	141
193	94	147
193	44	164
193	14	163
193	70	130
193	95	165
193	5	9
193	29	156
193	4	118
193	5	166
193	5	66
193	4	84
193	31	169
193	72	139
193	15	17
193	14	90
193	5	17
193	4	126
193	70	141
193	49	75
193	5	42
193	99	147
193	14	112
193	93	144
193	5	172
193	8	130
193	11	156
193	102	164
193	4	8
193	9	9
193	16	147
193	104	164
193	14	174
193	106	176
193	17	161
193	9	17
193	15	9
193	8	178
193	4	180
193	33	181
193	13	147
193	53	182
193	4	79
193	5	184
193	32	134
