weight;word;color;url
1052;<starring, subject, American_women_film_producers>;;
784;<starring, subject, 1971_births>;;
6286;<distributor, type, Subsidiary>;;
516;<starring, subject, 1973_births>;;
1729;<distributor, subject, Mass_media_companies_of_the_United_States>;;
2187;<director, subject, American_television_directors>;;
1816;<starring, subject, Film_producers_from_California>;;
526;<writer, subject, American_women_screenwriters>;;
651;<starring, subject, American_women_film_directors>;;
404;<title, genre, Pop_music>;;
1167;<starring, subject, Outstanding_Performance_by_a_Female_Actor_in_a_Leading_Role_Screen_Actors_Guild_Award_winners>;;
88;<title, genre, Funk>;;
927;<director, subject, Film_producers_from_New_York_(state)>;;
44;<title, subject, Capitol_Records_singles>;;
365;<starring, subject, Ashkenazi_Jews>;;
281;<extra, genre, Folk_rock>;;
370;<extra, genre, Pop_rock>;;
3066;<subject, 1999_films>;;
3496;<distributor, subject, American_film_studios>;;
2361;<producer, subject, American_Jews>;;
3183;<distributor, subject, Hollywood_history_and_culture>;;
1269;<subject, core#broader, American_romance_films>;;
877;<distributor, subject, Organizations_awarded_an_Academy_Honorary_Award>;;
1306;<distributor, product, Video_game>;;
1210;<starring, subject, Actresses_of_German_descent>;;
492;<starring, subject, Cannes_Film_Festival_Award_for_Best_Actor_winners>;;
2199;<music, occupation, Composer>;;
689;<starring, subject, 1952_births>;;
5185;<distributor, subject, Film_production_companies_of_the_United_States>;;
3242;<distributor, subject, Cinema_of_Southern_California>;;
2841;<subject, core#broader, Films_by_American_producers>;;
2563;<distributor, Walt_Disney_Studios_Motion_Pictures>;;
33;<starring, subject, People_from_Culver_City,_California>;;
44;<starring, subject, American_people_of_Hungarian_descent>;;
10;<studio, hqLocationCity, Los_Angeles>;;
23;<starring, birthPlace, Culver_City,_California>;;
702;<starring, subject, LGBT_entertainers_from_the_United_States>;;
377;<starring, subject, Independent_Spirit_Award_for_Best_Supporting_Female_winners>;;
31;<writer, subject, American_women_television_producers>;;
280;<writer, subject, American_women_film_directors>;;
343;<cinematography, birthPlace, London>;;
298;<starring, subject, LGBT_people_from_California>;;
377;<starring, subject, 1975_births>;;
254;<starring, subject, LGBT_producers>;;
140;<starring, birthPlace, Santa_Monica,_California>;;
402;<starring, subject, LGBT_directors>;;
158;<starring, subject, 21st-century_American_businesswomen>;;
60;<title, subject, Warner_Records_singles>;;
490;<distributor, subject, 1953_establishments_in_California>;;
425;<distributor, subject, Mass_media_companies_established_in_1953>;;
459;<distributor, industry, Motion_pictures>;;
478;<distributor, subject, American_companies_established_in_1953>;;
48;<title, label, Warner_Records>;;
34;<title, recordLabel, Warner_Bros._Records>;;
689;<distributor, subject, The_Walt_Disney_Studios>;;
308;<musicComposer, subject, 1951_births>;;
226;<music, subject, 1951_births>;;
28;<title, subject, 1976_singles>;;
219;<director, birthPlace, The_Bronx,_New_York>;;
10;<title, recordLabel, EMI>;;
44;<title, label, A&M_Records>;;
445;<distributor, subject, Entertainment_companies_established_in_1953>;;
130;<genre, stylisticOrigin, Rhythm_and_blues>;;
411;<distributor, isPrimaryTopicOf, Walt_Disney_Studios_Motion_Pictures>;;
389;<starring, subject, Actresses_from_New_Mexico>;;
23;<title, subject, Rock_ballads>;;
168;<genre, instrument, Electric_guitar>;;
41;<genre, derivative, Disco>;;
462;<distributor, sameAs, 124570302>;;
106;<title, subject, Number-one_singles_in_Australia>;;
51;<title, recordLabel, A&M_Records>;;
10;<label, subject, EMI>;;
246;<title, format, CD_single>;;
214;<title, subject, RPM_Top_Singles_number-one_singles>;;
3773;<editing, occupation, Film_editing>;;
17;<genre, derivative, Contemporary_R&B>;;
433;<distributor, parent, Disney_Media_Distribution>;;
73;<genre, subject, Popular_music>;;
10;<title, label, EMI>;;
745;<distributor, parentCompany, Walt_Disney_Studios_(division)>;;
332;<title, genre, Pop_rock>;;
45;<genre, stylisticOrigin, Rock_and_roll>;;
10;<title, subject, 1964_singles>;;
386;<distributor, headquarter, Walt_Disney_Studios_(Burbank)>;;
385;<extra, genre, Power_pop>;;
81;<starring, subject, Male_actors_from_Virginia>;;
114;<extra, subject, Musical_groups_established_in_1995>;;
3298;<distributor, Warner_Bros.>;;
788;<subject, Films_set_in_1999>;;
185;<starring, Peter_Gallagher>;;
904;<subject, Films_about_orphans>;;
250;<starring, Drew_Barrymore>;;
1852;<subject, American_romantic_drama_films>;;
887;<subject, Films_scored_by_James_Newton_Howard>;;
628;<genre, Pop_music>;;
747;<starring, Julia_Roberts>;;
975;<music, James_Newton_Howard>;;
600;<productionCompany, Regency_Enterprises>;;
968;<musicComposer, James_Newton_Howard>;;
730;<subject, Dimension_Films_films>;;
321;<subject, Films_scored_by_David_Newman>;;
316;<music, David_Newman_(composer)>;;
321;<musicComposer, David_Newman_(composer)>;;
547;<subject, American_teen_drama_films>;;
875;<subject, Films_about_suburbia>;;
927;<subject, American_coming-of-age_comedy_films>;;
423;<subject, Coming-of-age_romance_films>;;
882;<subject, 1999_directorial_debut_films>;;
2184;<subject, Warner_Bros._films>;;
1470;<subject, American_romantic_comedy_films>;;
2740;<distributor, 20th_Century_Fox>;;
329;<subject, 1999_romantic_comedy_films>;;
1977;<subject, Films_produced_by_Joel_Silver>;;
411;<subject, American_haunted_house_films>;;
372;<subject, Films_set_in_the_1930s>;;
3148;<producer, Joel_Silver>;;
452;<type, Film_score>;;
768;<subject, American_film_remakes>;;
402;<subject, 1999_horror_films>;;
1116;<subject, American_supernatural_horror_films>;;
1015;<subject, Films_shot_in_Florida>;;
829;<subject, Films_shot_in_France>;;
339;<music, George_Fenton>;;
212;<subject, Romantic_period_films>;;
347;<musicComposer, George_Fenton>;;
801;<subject, Films_set_in_France>;;
313;<subject, Films_scored_by_George_Fenton>;;
555;<subject, Films_set_in_hotels>;;
501;<subject, Films_featuring_a_Best_Musical_or_Comedy_Actress_Golden_Globe_winning_performance>;;
725;<producer, Arnon_Milchan>;;
1117;<subject, 1990_films>;;
190;<studio, Silver_Screen_Partners>;;
401;<subject, Films_about_prostitution_in_the_United_States>;;
987;<subject, American_sex_comedy_films>;;
888;<subject, 1990s_sex_comedy_films>;;
810;<genre, Rock_music>;;
454;<subject, 1997_independent_films>;;
381;<subject, Films_set_in_universities_and_colleges>;;
712;<subject, American_mystery_films>;;
748;<cinematography, Peter_Deming>;;
742;<subject, 1990s_slasher_films>;;
374;<subject, 1997_horror_films>;;
1058;<subject, Films_set_in_Ohio>;;
394;<subject, American_thriller_films>;;
663;<subject, 1990s_teen_horror_films>;;
1028;<distributor, Dimension_Films>;;
768;<subject, 1990s_serial_killer_films>;;
303;<subject, 1990s_mystery_films>;;
1060;<subject, Films_set_in_1997>;;
440;<subject, Films_about_educators>;;
310;<subject, Films_about_journalists>;;
805;<subject, Films_shot_in_Chicago>;;
3066;<subject, Amblin_Entertainment_films>;;
678;<subject, American_children's_comedy_films>;;
6660;<editing, Michael_Kahn_(film_editor)>;;
1005;<director, Richard_Donner>;;
1815;<studio, Amblin_Entertainment>;;
452;<subject, Films_shot_in_Oregon>;;
1363;<subject, Treasure_hunt_films>;;
232;<musicComposer, Dave_Grusin>;;
224;<music, Dave_Grusin>;;
223;<subject, 1980s_buddy_comedy_films>;;
224;<subject, Films_scored_by_Dave_Grusin>;;
1706;<productionCompany, Amblin_Entertainment>;;
486;<subject, Films_directed_by_Richard_Donner>;;
819;<subject, American_football_films>;;
216;<musicComposer, Mark_Isham>;;
